No of Samples,Initiator Concentration(CI) ,Temperature (T),Jacket Temperature (T),Coolant water flowrate (Fcw),Monomer inlet Flowrate (F),Coolant inlet temp.water (Two),Inlet temparature of Feed (Tin), Target variable (Monomer Concentration)
32,0.0252925488876806,352.974755868086,335.45584677264,0.1588,0.991104740833594,293.2,349.930143985087,6.04135485477363
33,0.024963214354766,346.374391671453,323.792010475479,0.1588,1.0051882898253,293.2,349.935031656573,6.05180019256553
34,0.0248528970517719,352.955740006056,331.019407918871,0.1588,1.00949925072038,293.2,350.080434982397,6.04821332908718
35,0.0246397933907624,349.106775672837,329.035149927438,0.1588,1.01879803079152,293.2,349.987612651707,6.06151570575763
36,0.0255248025048636,356.071257342785,328.209175947869,0.1588,0.983254323363327,293.2,349.911541689647,6.03725332398148
37,0.0247918861924336,347.479355697199,337.493015840375,0.1588,1.01041882226538,293.2,350.118174454921,6.04077351181857
38,0.0253463105698198,348.957558170257,335.202443820669,0.1588,0.989570421917738,293.2,349.872938571174,6.0397241371205
39,0.0251785069836435,345.36392649703,333.574068817853,0.1588,0.995906395093289,293.2,350.117289161395,6.02929371906579
40,0.0252599893015103,348.75424679523,334.605180325269,0.1588,0.991661552150575,293.2,349.949162075106,6.02736674989204
41,0.0251761442578992,347.443173051731,331.857831731953,0.1588,0.996123600966665,293.2,350.040313547448,6.03258471808146
42,0.0250041117481697,348.962930591866,329.601675732325,0.1588,1.00278849294224,293.2,349.980881384256,6.0401524460764
43,0.0251562681100367,348.710529069063,334.869591667603,0.1588,0.996480178046344,293.2,349.986127792995,6.03867795262298
44,0.0251300085379151,346.655773459583,331.264062146505,0.1588,0.999678539189723,293.2,349.977299432489,6.04138208389533
45,0.0248945835014338,342.874037803797,341.174262896267,0.1588,1.00885525978137,293.2,349.888945285462,6.05524607083154
46,0.0249038699834174,345.338511067695,332.829716021812,0.1588,1.0075175096299,293.2,350.00636787827,6.05063838491372
47,0.0247843363171747,352.706717764682,333.455918095719,0.1588,1.01169617352733,293.2,350.005820670712,6.0525434291756
48,0.0253046509862932,354.125947506276,331.369299506346,0.1588,0.990470546876533,293.2,350.05493499739,6.03168004736039
49,0.0253602538577618,344.167328552237,332.752364065422,0.1588,0.988080071808346,293.2,349.983366775905,6.02937598578142
50,0.025006713417545,351.620263175155,331.704891185784,0.1588,1.00145580047728,293.2,350.137625017166,6.02868268589577
51,0.0253635219485996,347.870355540716,326.549376766218,0.1588,0.986522221502733,293.2,349.974529165579,6.02242601683241
52,0.0254790735964973,349.087716625099,328.188178357746,0.1588,0.983239926503047,293.2,349.955652187182,6.02091326244429
53,0.0250685324313559,349.161067545695,335.639860342281,0.1588,0.997405569795622,293.2,350.120269575044,6.02273331801033
54,0.0248302851162656,347.310885254884,326.319090785399,0.1588,1.00887085415884,293.2,350.105948614522,6.03141532117906
55,0.0250014270417592,350.01020527503,328.198296804439,0.1588,1.00100917947136,293.2,350.039633210324,6.03474772798855
56,0.0254235011147207,348.728721498963,330.86611205581,0.1588,0.985850857734747,293.2,349.945884387417,6.03237276576
57,0.0247314262136272,351.802523435949,328.77852809477,0.1588,1.01594065079877,293.2,350.014874202172,6.05157696142936
58,0.0247817388676105,343.782883830273,332.900306884955,0.1588,1.01249552707352,293.2,350.032464452024,6.05048136619563
59,0.025492640696146,348.065120579208,325.913315935413,0.1588,0.982710200638311,293.2,349.993235882275,6.02973593754738
60,0.0247969743305268,349.699141270909,329.331589918818,0.1588,1.01112068715376,293.2,350.049596254559,6.04544235676558
61,0.0248842339076329,350.485707445709,330.390870605893,0.1588,1.00605034199646,293.2,350.039669769869,6.04191803819868
62,0.0248395693268365,356.645986023636,334.605306488779,0.1588,1.00967347855007,293.2,350.053364725259,6.04776202432974
63,0.0251879796563444,343.314003531878,335.163616844594,0.1588,0.996691362644291,293.2,349.923771509777,6.04188625758812
64,0.025109034703189,349.933747245912,328.575807866274,0.1588,0.999744781580849,293.2,349.821092817117,6.05550599140726
65,0.0250114001730667,350.014627714552,330.47422141769,0.1588,1.00303099513057,293.2,350.012895674066,6.0531074769973
66,0.0250110185419417,348.562043762844,328.672879245446,0.1588,1.00301307842259,293.2,349.975929582335,6.05145071668688
67,0.0247732931441137,351.469056279789,332.36525468826,0.1588,1.01258435935202,293.2,349.946450108507,6.05830191068089
68,0.025017171359731,350.731147033331,331.333778573104,0.1588,1.00186849878108,293.2,350.044166920424,6.04270650972626
69,0.0248773181146788,345.222508920641,333.792575309021,0.1588,1.00805220047275,293.2,349.988952456073,6.04976962372295
70,0.0249640735316502,350.113006293784,332.787558783169,0.1588,1.00595442252828,293.2,349.909792121731,6.05314467932044
71,0.02484214487124,338.820559525476,327.54089556876,0.1588,1.01078332818024,293.2,349.981002977008,6.05624558744903
72,0.0251207821632117,348.607916030633,331.000132264864,0.1588,0.998976305087503,293.2,350.002780124516,6.04185491936259
73,0.025090095551918,347.059745986452,330.909679833635,0.1588,0.99805013087714,293.2,349.984642572936,6.04179315539476
74,0.0255864293355173,351.442659185083,330.380872487662,0.1588,0.977979019084692,293.2,350.111118099116,6.01237463879711
75,0.0246606532576166,344.763625331428,334.376540944291,0.1588,1.0180348305623,293.2,349.909013258982,6.05553988939941
76,0.0248389739034067,345.312584821463,331.518296368256,0.1588,1.01039358370066,293.2,349.913440128747,6.05915773492347
77,0.0251771377710275,346.128525211676,328.455446059202,0.1588,0.995971747267029,293.2,349.977554186793,6.04413792322925
78,0.0250843845667258,351.073303931946,333.76596007591,0.1588,0.99886805088334,293.2,350.021562448317,6.03888247657467
79,0.0252183752552551,347.350579353986,335.039649219296,0.1588,0.99375834505275,293.2,349.985824410204,6.03498935657116
80,0.0254632547739863,344.497193273758,331.457153300057,0.1588,0.983543744446768,293.2,350.083780401711,6.01918275090938
81,0.0249991205562626,348.902108766574,333.813052169785,0.1588,0.999549368741508,293.2,350.185566857131,6.01447921382627
82,0.0247333959728211,350.829978318986,334.262065054432,0.1588,1.01392599875416,293.2,350.020528654519,6.03985647451072
83,0.0252710128070347,350.707011417203,330.215655364732,0.1588,0.990984168581308,293.2,349.998402383085,6.02832217596183
84,0.024796987083931,351.51845847793,332.87388832116,0.1588,1.01157411444157,293.2,350.030652375908,6.04991669649437
85,0.0250029791549217,345.116967211202,330.605134264544,0.1588,1.00174875080762,293.2,350.131462528292,6.03417927245316
86,0.0252667979651956,355.889382030502,329.748596064379,0.1588,0.992613448983281,293.2,349.987831821219,6.0314946867131
87,0.0249851324312029,344.214378848241,332.624665425308,0.1588,1.00316297144927,293.2,350.069150933616,6.03277950191903
88,0.0251510089246426,348.548737209251,329.334753702687,0.1588,0.99584349453789,293.2,349.975954997345,6.03449647450525
89,0.0253356959901623,350.882968765691,331.729393172051,0.1588,0.988469749495954,293.2,349.986382441034,6.03177214270558
90,0.0252864392143385,346.569258663487,328.579849002151,0.1588,0.990297140601016,293.2,350.047714058612,6.02656922141851
91,0.0255987856041784,347.543022599881,339.698538922357,0.1588,0.979126132989736,293.2,349.962536985293,6.01781065330876
92,0.0249137636335866,347.992778759869,332.268855569217,0.1588,1.00565228645956,293.2,350.023140465584,6.03516440203733
93,0.0246662754117863,347.793388715108,332.75550521066,0.1588,1.01685105591613,293.2,349.984515880441,6.0552209789479
94,0.0251447167408696,352.21058095427,330.908656809701,0.1588,0.995923564115829,293.2,350.217481628355,6.02215144703806
95,0.0246583088909612,350.199597674877,337.344358693906,0.1588,1.01675512474657,293.2,350.013454102556,6.04711582080148
96,0.0248732807373034,346.558972786522,334.028128149053,0.1588,1.00994392804363,293.2,349.771535532637,6.06393648848806
97,0.0250572099730313,350.267744336327,333.796659839488,0.1588,1.00227927069405,293.2,350.027321586995,6.05207713480695
98,0.0250616993450854,349.038064476559,331.079609733147,0.1588,1.00215129437985,293.2,349.81868813956,6.06145328911115
99,0.0250974878604234,344.455814586823,330.301548301876,0.1588,0.999835284972728,293.2,350.031564879074,6.05024480309614
100,0.0251646436504806,341.974316679298,335.048163754095,0.1588,0.99695921662978,293.2,350.004794346654,6.0414091582012
101,0.025291681142326,348.570500007571,335.042636798321,0.1588,0.990998944846208,293.2,349.939241345573,6.03753106912946
102,0.025225516216529,351.630931268969,328.799300365354,0.1588,0.99412446865395,293.2,349.996229356718,6.03871398358798
103,0.0254619097205381,344.371853622593,332.762532086967,0.1588,0.983286244879919,293.2,350.115877421145,6.01397385181215
104,0.0250465327694182,347.696853544293,333.388087710032,0.1588,0.999865484378503,293.2,350.034085549033,6.02695987879814
105,0.025211981546138,354.544553205829,327.853082387193,0.1588,0.994003172973586,293.2,349.968325133124,6.03211506011384
106,0.0253886729474239,355.586151446391,335.175281649509,0.1588,0.987192512125411,293.2,349.903401778835,6.03166182304856
107,0.025249756687693,347.86189379259,326.356532477706,0.1588,0.991752595470766,293.2,350.036069722902,6.02865551530178
108,0.0248260459236002,348.413859576092,333.418255388979,0.1588,1.01156473510395,293.2,349.981486816511,6.04655066575966
109,0.0252713348255309,346.266159504184,333.723618483736,0.1588,0.991736473784154,293.2,350.047416064364,6.03015447401026
110,0.0250820289459252,349.491145965546,325.728901468154,0.1588,0.998965097436741,293.2,349.819912417197,6.0491848433737
111,0.0247780021264955,356.446456650484,327.972477086394,0.1588,1.01237223394042,293.2,350.100066202133,6.0469643143094
112,0.0251391399028541,351.72662800772,331.698731604297,0.1588,0.997939262245468,293.2,350.010094643112,6.03703640015888
113,0.0256467997395293,351.232377881402,340.081245748482,0.1588,0.976439590716854,293.2,350.035658717065,6.0146949354762
114,0.024785098756931,352.6922852294,333.61773507895,0.1588,1.01021242049616,293.2,350.017852092158,6.04164142528586
115,0.0248659091393138,348.701104485717,335.823046592654,0.1588,1.00859777250129,293.2,350.003475330522,6.04741742700241
116,0.0251270943045049,354.250964539063,329.589271837895,0.1588,0.999677885182589,293.2,349.93083980095,6.04841303723988
117,0.0248912673550772,353.315557636217,331.349709495835,0.1588,1.00855341112526,293.2,350.010556667873,6.04908120191097
118,0.0251038490220772,353.008393904504,330.53764916295,0.1588,0.99827942836411,293.2,350.003986390251,6.04156405115462
119,0.0250517878084377,356.295867107212,337.039427737038,0.1588,0.999292778942126,293.2,350.10162778972,6.03176384463948
120,0.0250401023677274,348.660797306142,332.847639900268,0.1588,1.00134905335408,293.2,349.959998687493,6.03865337207116
121,0.0252474756574347,357.663357903445,336.87358234162,0.1588,0.992500510582705,293.2,349.976315261466,6.03829213041795
122,0.0248497372256501,351.02229149062,332.676098047617,0.1588,1.00939681604747,293.2,350.040127349412,6.04416032576265
123,0.0247869144577029,349.648543001566,329.313698925669,0.1588,1.01178845324833,293.2,350.065860502271,6.04750786567337
124,0.0244531741011809,347.178761047941,331.57257940163,0.1588,1.02728502919647,293.2,349.923855083233,6.07020417258317
125,0.0250482967137467,349.835371389328,331.135342231092,0.1588,1.00059597499294,293.2,350.078861572591,6.04350818427493
126,0.0249935587690906,349.089202407659,333.471095121602,0.1588,1.00455354659936,293.2,349.955579306194,6.05080620708861
127,0.0253383933366817,346.496856257697,330.560961102637,0.1588,0.987807308525105,293.2,350.070954298422,6.02610981813929
128,0.0247686071738018,347.448474561948,325.794207091301,0.1588,1.01167553946465,293.2,350.086435448449,6.03703325899781
129,0.0249138394791555,353.650447165163,325.448359728038,0.1588,1.00738806137202,293.2,349.927878321066,6.04994689702777
130,0.0251298801855042,352.250508978413,334.364619824062,0.1588,0.998273942101369,293.2,349.898528289072,6.05021362488559
131,0.0251510232613947,351.687549894272,331.288567840915,0.1588,0.997565980005942,293.2,349.998489732986,6.04192011685777
132,0.0254586454932301,348.368104068954,333.452083664751,0.1588,0.984727002100934,293.2,349.95875799973,6.03072662928577
133,0.0252878279354663,346.338258585775,326.205121321511,0.1588,0.99138855436434,293.2,349.960593705057,6.03394355568369
134,0.024957253071423,348.348439136993,331.126612866786,0.1588,1.00411950841237,293.2,350.136594488812,6.03353235363878
135,0.0250074203348934,349.712035244681,332.905177272163,0.1588,1.00355549889883,293.2,349.9790386109,6.04252144686021
136,0.0249715763735199,349.774965016145,332.122051836959,0.1588,1.00497436333175,293.2,349.962963838551,6.044282597695
137,0.0251331924667646,344.704724746065,323.357681173229,0.1588,0.999417120781242,293.2,349.860329469612,6.05229881086617
138,0.0248038199730327,347.393104139799,334.743404910702,0.1588,1.01266675655799,293.2,349.956581475858,6.05740276351887
139,0.0248968755518449,346.832799851814,331.127977289394,0.1588,1.00810205066491,293.2,349.834004232396,6.06272730605586
140,0.0250089635565958,346.049476860464,338.660898057281,0.1588,1.0034911976811,293.2,349.926939688664,6.06009589075765
141,0.0251453957804684,347.438950076055,332.3825937375,0.1588,0.997719509614512,293.2,350.142138622672,6.03348436904987
142,0.0250483082273882,346.448186408006,329.311599356274,0.1588,1.00062983527462,293.2,350.019721401924,6.03588632111237
143,0.0249532898110283,349.702906212259,327.570229725044,0.1588,1.00472603551205,293.2,350.039800682819,6.04183994736
144,0.0249628824796725,344.875440068496,330.008670841248,0.1588,1.0053428506832,293.2,350.064062884595,6.04054920486038
145,0.0253951638033259,351.906501075661,330.255226225453,0.1588,0.986047617744229,293.2,350.096281852022,6.01704904203079
146,0.024784522900179,346.787020405259,329.52308043929,0.1588,1.01165026038258,293.2,350.029796253708,6.03763161077041
147,0.0252005706894644,350.113703276123,337.22306515139,0.1588,0.995555924662795,293.2,349.853052699086,6.046898160689
148,0.0253407297571475,351.717063600122,338.486053619397,0.1588,0.990551477518992,293.2,349.845983261923,6.04895702357037
149,0.0252927464506562,350.024616261584,334.099975934494,0.1588,0.99037897214004,293.2,350.078126215346,6.03185202902531
150,0.0249157470224622,349.362071664186,333.598824880812,0.1588,1.00586791973796,293.2,350.045104345899,6.0409325339316
151,0.0249374658002496,351.265473653922,329.293042696472,0.1588,1.00583996581031,293.2,350.060499548032,6.03744920504847
152,0.0250278319592409,347.248865431686,327.068286087568,0.1588,1.00264064959867,293.2,349.965184905956,6.04481237230117
153,0.0251992786620035,355.138684986464,332.415169509961,0.1588,0.994949462477373,293.2,349.965347593277,6.04185205753139
154,0.025196109991722,353.227877276683,334.442685560392,0.1588,0.996975836934731,293.2,349.90105885552,6.0454576722511
155,0.0254880079068986,351.095090918137,327.522419883729,0.1588,0.984266523165514,293.2,349.851523200746,6.04054701888698
156,0.025305219288357,349.009450402477,331.720457242045,0.1588,0.990860901350203,293.2,349.999761402106,6.03195893608949
157,0.0246494389936929,344.095549796244,335.223631698743,0.1588,1.01884007212321,293.2,349.902548670362,6.06001438922725
158,0.0253653511326227,349.699775984276,330.551848455042,0.1588,0.988600566420228,293.2,349.958935312649,6.04287784569111
159,0.0254120008401005,346.459841418011,332.657805214409,0.1588,0.98634727288279,293.2,350.114252693103,6.02150170461233
160,0.0253834733588072,350.208338730259,336.095138174516,0.1588,0.985517673884338,293.2,350.048962462453,6.01344467077965
161,0.0249978657109457,345.024851266383,335.562150443867,0.1588,1.00208242835332,293.2,350.073863076184,6.02684726201833
162,0.0256195640706598,353.679241643165,336.116913413561,0.1588,0.975596506790724,293.2,350.034317116885,6.01039320396923
163,0.0249632125043821,348.401825785825,325.860255232109,0.1588,1.00391132160191,293.2,349.988852430436,6.03796813303505
164,0.0250030725537777,355.713066472404,334.373924390064,0.1588,1.00245422854718,293.2,349.96708827619,6.04238308123842
165,0.0246011741384009,355.253583391205,331.902304993539,0.1588,1.01863940292607,293.2,349.981436315534,6.05818219440434
166,0.0250967278714344,350.816530212577,330.896663277723,0.1588,1.00035071498185,293.2,349.919575311993,6.053250145227
167,0.0249290365937627,352.531647438552,336.405239436119,0.1588,1.00576545069173,293.2,350.058389873377,6.04662125829388
168,0.0251570010111895,349.474836805465,330.44268994113,0.1588,0.996409961313344,293.2,349.899048960773,6.0467978922668
169,0.0253845817540682,354.741535012927,328.172691452199,0.1588,0.987321712055732,293.2,349.960645241686,6.03578196078351
170,0.0248278876500966,349.765430012728,337.063524289477,0.1588,1.01021044083939,293.2,350.037237224623,6.04894317908001
171,0.0253858824071129,359.709931480928,330.936230192478,0.1588,0.986575781656522,293.2,350.05529765498,6.024890240427
172,0.0253816894599079,346.510376260294,340.164964223068,0.1588,0.985955988503493,293.2,350.026817684834,6.01603033419271
173,0.025136256978445,351.511458347514,335.737778554202,0.1588,0.996160122593865,293.2,350.082683995154,6.01986986606377
174,0.0244086894868678,349.488503366686,335.496135600761,0.1588,1.02840824359054,293.2,350.069180529609,6.05164435921184
175,0.0249487163959223,346.386459366257,331.400307749692,0.1588,1.00635231452831,293.2,349.864367963677,6.05650313388091
176,0.0249941394720358,346.350638931862,333.001189316524,0.1588,1.00337302938942,293.2,350.021419524096,6.0497553767509
177,0.0250084772667864,345.654395022325,327.396115063127,0.1588,1.00162921284527,293.2,350.072859241289,6.03752430251733
178,0.0250816046831539,347.235814675396,326.032541145983,0.1588,1.00016777373744,293.2,350.018854907427,6.0398458471717
179,0.0249852531564771,349.228582475473,330.614937363149,0.1588,1.00446629712676,293.2,349.870456078721,6.05511391495545
180,0.0253671082085616,343.902218715519,326.572205968327,0.1588,0.989096367353852,293.2,349.951654726539,6.04208798407637
181,0.0250073489584246,345.189391009484,330.092814942203,0.1588,1.00376185903258,293.2,349.986420889346,6.04946193280112
182,0.0252075385953527,339.940078788648,330.18015262597,0.1588,0.995662610600906,293.2,349.977953255246,6.03820863267866
183,0.0252224555573874,346.02888232864,331.654074058486,0.1588,0.993397439999076,293.2,350.056446416283,6.02949758129397
184,0.0251527111947416,348.230229929866,327.006417532218,0.1588,0.995687632224964,293.2,349.931033838803,6.0353182594984
185,0.025135880126445,344.031410375539,334.164788017714,0.1588,0.996065046699861,293.2,350.0374089847,6.03480237292765
186,0.0251105497914868,356.140361183803,327.944355410875,0.1588,0.998383994672184,293.2,349.912543282949,6.0399020297191
187,0.0251415811245347,350.668399865405,335.715361426314,0.1588,0.998235511837725,293.2,349.919347429611,6.04661047448394
188,0.02523815406101,347.231352634096,333.970974535036,0.1588,0.994918898687379,293.2,349.951403599518,6.04372713089941
189,0.0253160941484832,353.855304211075,329.795444183936,0.1588,0.990732359215704,293.2,350.018390403783,6.03232007997951
190,0.0249457257662625,351.67449608273,328.237285093095,0.1588,1.00412307109624,293.2,350.087989892895,6.03552009168952
191,0.0254662873427211,348.933442325995,334.528983704431,0.1588,0.983033315045748,293.2,350.026998052093,6.01548496191454
192,0.0252179736965751,353.655817101683,331.678230920691,0.1588,0.994006444940002,293.2,349.946961585695,6.03244338316969
193,0.0252440032633263,347.406388914241,326.283681672326,0.1588,0.991947602190174,293.2,350.079343088313,6.02535637629946
194,0.0252848478460239,351.29936737933,334.193521018519,0.1588,0.990719456203611,293.2,349.997111359471,6.02617273230081
195,0.0250401007750491,350.974798602294,327.063569623695,0.1588,1.00051671078788,293.2,349.988614676421,6.03597136714363
196,0.0251738023209134,349.63338958863,337.167519573969,0.1588,0.99451546449233,293.2,349.982639320889,6.0367467083006
197,0.0251220850098819,346.121144707662,329.903500023055,0.1588,0.997340880737401,293.2,349.950228873998,6.041828658422
198,0.0247798473130672,352.869434954282,331.364162853384,0.1588,1.01278246135366,293.2,349.941030288527,6.05976723692688
199,0.024900616588289,346.694209384325,330.894280698698,0.1588,1.00674960813627,293.2,350.019812169822,6.04885581928678
200,0.0254241011418295,348.828500512904,329.487966961305,0.1588,0.987578532033225,293.2,349.820853977019,6.04827901339755
201,0.0243774026447205,347.122343922755,325.756957233269,0.1588,1.02878683487001,293.2,350.003931588209,6.06698566723943
202,0.0248314542716406,353.851981985113,329.331638320005,0.1588,1.01041829796269,293.2,350.037760080859,6.05522605455616
203,0.0248872212724509,353.37887423835,330.648848854757,0.1588,1.00915165924513,293.2,349.961757644355,6.05578940074156
204,0.0251715315435738,350.856663862484,335.714961840153,0.1588,0.996542484759587,293.2,350.043100577532,6.03914215199696
205,0.0248990386914301,344.937087150194,334.383378039033,0.1588,1.00687389355366,293.2,349.998680815618,6.04698495149391
206,0.025228087128924,348.869131850319,327.965873584241,0.1588,0.992891904470135,293.2,350.016955584481,6.0366337783195
207,0.0248577960836245,351.788514153636,328.578970010522,0.1588,1.0104912830702,293.2,349.856406882971,6.05993965371442
208,0.0251383905220915,353.937514105678,328.187193240316,0.1588,0.997813154871916,293.2,350.00971569417,6.04569210280119
209,0.025098623792627,345.789115678463,335.701579089006,0.1588,1.00126044992534,293.2,349.868994250695,6.05390943636164
210,0.0250922237665262,350.935280018502,336.138976413423,0.1588,1.00013890191178,293.2,350.054112879371,6.04311177543141
211,0.0252899788396626,348.666086756712,328.506398257441,0.1588,0.992576647914061,293.2,350.048480893064,6.03020182742569
212,0.0253192058765863,350.251525374347,335.595755799696,0.1588,0.990789127945298,293.2,349.963612187282,6.02988586181531
213,0.0247412963540019,350.738873824971,325.152423795102,0.1588,1.01507322613993,293.2,349.914358641232,6.06057205057202
214,0.0250439742069555,358.072254589768,327.942388615932,0.1588,1.0013594123243,293.2,349.994240587329,6.05067300135825
215,0.0248840693343455,347.857153859377,324.242000599599,0.1588,1.0075960207475,293.2,349.953952344507,6.05449858328977
216,0.0252725996642364,353.280223143649,327.195198723257,0.1588,0.992730772583772,293.2,349.95502906544,6.04346667862529
217,0.0249669169852325,347.938838643905,332.004936771772,0.1588,1.00413935043002,293.2,349.98210576512,6.0491753334458
218,0.0249454234849879,346.977656410779,328.013626353203,0.1588,1.0050780323001,293.2,349.995860368054,6.04634638369873
219,0.0249165360069103,352.077183937945,333.424080945844,0.1588,1.006948458199,293.2,350.03796482469,6.04477169269106
220,0.024917921507702,346.368373148215,328.587920859961,0.1588,1.005998235701,293.2,350.078243015778,6.04071750915925
221,0.0254533643416358,346.338792338595,327.927997871057,0.1588,0.983809019490163,293.2,350.047126129897,6.02235178767898
222,0.0247564968926561,349.4813430889,333.212284294245,0.1588,1.01015518136433,293.2,350.221790317645,6.02646620107283
223,0.0250647721790002,348.526115314616,333.575064606183,0.1588,0.997978170563153,293.2,349.987548701361,6.03173598000822
224,0.0249149031220168,350.729404954256,331.21168630755,0.1588,1.00610156905561,293.2,350.054671016021,6.04001493985506
225,0.0249751094478537,351.072775868937,330.759427238835,0.1588,1.00254047484828,293.2,350.104133248561,6.03047730400449
226,0.0251496274011701,353.891446867218,332.18498643475,0.1588,0.995410121927068,293.2,350.123701395808,6.02227747804403
227,0.0250715236068599,345.605494291181,334.172694011118,0.1588,0.999865824609827,293.2,349.980818419318,6.0323336227407
228,0.0250357272117989,351.901923730632,334.005716445767,0.1588,1.0024615173264,293.2,349.969636524323,6.04175696835624
229,0.0251296101076489,346.770951619417,332.152107311059,0.1588,0.998100404158279,293.2,350.038713411777,6.03898435863814
230,0.0248927292368196,347.989424660124,333.243845711144,0.1588,1.00808403606049,293.2,349.965898051798,6.0468220257641
231,0.0249060474274485,349.743132782194,334.380877822448,0.1588,1.00576606681203,293.2,350.152675570341,6.03495665442885
232,0.0248839887788616,351.373962796421,328.950239924607,0.1588,1.00789097946017,293.2,350.017899424325,6.04436948692561
233,0.0251678173106505,350.362626508786,326.442817238177,0.1588,0.996762555385145,293.2,349.874710100993,6.04790053243902
234,0.0255949242764026,355.12717815059,327.165204840593,0.1588,0.978971397162726,293.2,349.985611422313,6.03018700075888
235,0.0250608701439115,348.190257689646,330.818776113956,0.1588,1.00057440676217,293.2,349.889468978858,6.04623032690903
236,0.0250321702103818,342.77412793796,328.385014972011,0.1588,1.00199870468143,293.2,349.952862631393,6.04741838009119
237,0.0252718843398141,350.454984112072,336.840293761895,0.1588,0.992360057402553,293.2,349.967174796025,6.04118032783223
238,0.0255622979557157,350.041754186164,336.953578939415,0.1588,0.982123271278747,293.2,349.902261704357,6.03107285165492
239,0.0250845566683104,348.17038082709,333.981700556138,0.1588,0.999626965093651,293.2,349.893136098049,6.0456404871277
240,0.0252930657733714,351.425067923655,333.193926650526,0.1588,0.989900414768989,293.2,350.034993455323,6.03473572321292
241,0.024937377896883,350.573490513239,326.413966668381,0.1588,1.00664208617304,293.2,350.044293732019,6.04252173220432
242,0.0254015438258794,354.239414081586,329.770450560481,0.1588,0.985691176327322,293.2,349.953389051091,6.0300185874505
